frame,time_sec,center_x,center_y,team,brightness,saturation,hue
0,0.0,590.7430114746094,268.52125549316406,real_madrid,191.205,62.52,40.07
0,0.0,762.1422424316406,168.66785430908203,real_madrid,201.8265306122449,34.5,39.10204081632653
0,0.0,735.1220092773438,219.74616241455078,unknown,89.28888888888889,117.91851851851852,79.4962962962963
0,0.0,497.1695251464844,406.1902160644531,unknown,170.98395721925132,79.10160427807487,44.01069518716577
0,0.0,512.4507293701172,274.67223358154297,unknown,89.34821428571429,158.21428571428572,21.8125
0,0.0,299.4980926513672,155.15567016601562,real_madrid,210.86111111111111,48.05555555555556,35.458333333333336
0,0.0,696.37255859375,134.80435180664062,real_madrid,191.88888888888889,53.291666666666664,33.47222222222222
0,0.0,160.69009399414062,107.08771133422852,unknown,80.88095238095238,137.16666666666666,25.86904761904762
0,0.0,560.1093139648438,273.549072265625,barcelona,87.33333333333333,152.1,56.95
0,0.0,330.7539367675781,165.50833892822266,unknown,154.52380952380952,130.42857142857142,59.26190476190476
0,0.0,754.7833557128906,418.8631896972656,referee,41.81111111111111,170.62222222222223,70.62777777777778
0,0.0,253.32725524902344,459.79803466796875,barcelona,122.85,166.14166666666668,56.31666666666667
0,0.0,535.494384765625,227.7950439453125,barcelona,81.8452380952381,121.5952380952381,116.02380952380952
0,0.0,753.8722839355469,411.6203308105469,barcelona,65.85714285714286,143.52380952380952,49.457142857142856
0,0.0,364.15745544433594,174.94522094726562,barcelona,66.34285714285714,155.4142857142857,45.52857142857143
0,0.0,580.6030883789062,121.88924026489258,referee,49.95,90.75,57.333333333333336
0,0.0,548.3813781738281,51.241403579711914,real_madrid,203.53333333333333,80.2,45.016666666666666
0,0.0,507.693115234375,405.8391418457031,unknown,166.5183823529412,100.27941176470588,41.76470588235294
0,0.0,718.2072448730469,109.65491104125977,unknown,71.97222222222223,141.69444444444446,20.944444444444443
0,0.0,436.9569091796875,382.7393035888672,unknown,128.4156862745098,122.0156862745098,49.01960784313726
0,0.0,669.771728515625,99.539794921875,real_madrid,211.18,44.08,47.42
