frame,time_sec,tracker_id,class,confidence,center_x,center_y,pitch_x,pitch_y
5,0.2,3,sports ball,0.377,380.6,325.0,52.55654,54.15321
5,0.2,21,person,0.34,450.2,378.7,56.57222,61.13494
6,0.24,26,person,0.764,363.4,243.7,51.82367,43.170277
6,0.24,13,person,0.764,294.4,454.4,46.929253,67.86868
6,0.24,1,person,0.739,622.8,260.1,69.34263,48.1288
6,0.24,2,person,0.719,796.7,167.3,84.1406,36.384033
6,0.24,8,person,0.644,733.1,134.4,80.58608,30.244638
6,0.24,4,person,0.642,759.1,216.9,79.79383,43.489887
6,0.24,31,person,0.621,574.1,266.4,65.94344,48.486866
6,0.24,5,person,0.598,495.9,398.5,59.17473,63.730076
6,0.24,7,person,0.593,319.8,151.9,49.02486,28.3464
6,0.24,3,sports ball,0.578,379.1,325.3,52.458332,54.176033
6,0.24,15,person,0.534,790.6,411.0,76.58125,67.61252
6,0.24,17,person,0.508,609.4,122.8,71.51166,26.756527
6,0.24,21,person,0.483,451.2,376.1,56.65532,60.85061
6,0.24,6,person,0.461,545.4,272.3,63.92075,48.989185
6,0.24,47,person,0.407,191.0,102.1,38.878002,17.770748
6,0.24,11,person,0.372,354.7,162.9,51.60648,30.609428
7,0.28,26,person,0.785,366.9,245.6,52.05614,43.477882
7,0.28,13,person,0.783,302.3,452.5,47.39111,67.74211
7,0.28,1,person,0.765,629.0,258.6,69.79217,47.988186
7,0.28,3,sports ball,0.758,377.7,325.6,52.366608,54.199806
7,0.28,2,person,0.739,804.2,168.5,84.64295,36.65868
7,0.28,16,person,0.732,363.4,165.1,52.24386,31.075636
7,0.28,4,person,0.707,766.1,217.8,80.253716,43.694523
7,0.28,7,person,0.677,323.0,151.7,49.267574,28.349972
7,0.28,8,person,0.643,739.4,134.3,81.06512,30.302168
7,0.28,31,person,0.593,578.4,266.2,66.23606,48.50338
7,0.28,21,person,0.585,451.6,375.2,56.687485,60.7524
7,0.28,55,person,0.574,775.9,133.5,83.8478,30.59789
7,0.28,47,person,0.563,194.7,102.9,39.180397,17.97057
7,0.28,6,person,0.548,552.8,271.9,64.42262,49.010086
7,0.28,17,person,0.498,615.3,123.4,71.94933,26.93345
7,0.28,15,person,0.498,798.2,411.0,77.03085,67.6776
7,0.28,11,person,0.449,360.1,165.1,51.99784,31.037485
7,0.28,5,person,0.312,492.7,397.3,58.99344,63.57147
8,0.32,3,sports ball,0.803,377.1,326.0,52.32594,54.243538
8,0.32,1,person,0.785,635.8,258.1,70.26205,47.98941
8,0.32,26,person,0.771,368.5,248.5,52.151474,43.906303
8,0.32,13,person,0.75,310.6,450.9,47.877193,67.64907
8,0.32,2,person,0.732,812.2,168.8,85.21399,36.79625
8,0.32,8,person,0.709,747.5,134.5,81.669365,30.43196
8,0.32,55,person,0.683,783.6,135.2,84.36383,30.97683
8,0.32,7,person,0.65,328.5,152.4,49.68144,28.534193
8,0.32,4,person,0.627,771.5,218.8,80.59823,43.89621
8,0.32,17,person,0.542,620.0,123.6,72.304825,27.025364
8,0.32,6,person,0.508,558.5,271.2,64.81571,48.97381
8,0.32,47,person,0.505,200.1,105.1,39.627975,18.4578
8,0.32,11,person,0.465,363.3,165.4,52.23468,31.124174
8,0.32,21,person,0.368,454.4,373.2,56.87714,60.550873
8,0.32,19,person,0.365,498.1,397.5,59.317924,63.64065
8,0.32,15,person,0.337,805.2,409.2,77.48864,67.550354
8,0.32,31,person,0.314,583.3,262.7,66.62832,48.080254
9,0.36,3,sports ball,0.786,376.4,326.6,52.277863,54.310986
9,0.36,13,person,0.776,318.1,449.8,48.316803,67.60003
9,0.36,4,person,0.751,777.4,220.2,80.96404,44.160305
9,0.36,1,person,0.746,642.3,257.4,70.71628,47.960373
9,0.36,2,person,0.699,819.8,168.5,85.7782,36.834526
