frame,time_sec,class,confidence,center_x,center_y,width,height
25,1.0,person,0.682,140.0,224.5,20.6,32.9
25,1.0,person,0.633,285.6,113.8,22.5,31.8
25,1.0,person,0.592,431.6,434.4,20.2,67.2
25,1.0,person,0.559,644.9,269.8,19.9,47.9
25,1.0,person,0.549,662.5,238.5,16.3,43.1
25,1.0,sports ball,0.522,394.6,333.7,10.5,9.7
25,1.0,person,0.509,621.6,269.4,23.2,45.1
25,1.0,person,0.467,706.0,132.5,13.6,32.7
25,1.0,person,0.428,688.0,61.5,17.7,30.3
25,1.0,person,0.381,741.8,425.0,30.1,34.8
25,1.0,person,0.38,439.4,168.2,14.8,33.1
25,1.0,person,0.368,825.5,106.9,17.3,36.9
25,1.0,person,0.352,499.8,177.9,19.3,32.6
25,1.0,person,0.345,391.5,152.1,24.4,32.9
25,1.0,person,0.338,631.8,269.8,44.4,47.4
25,1.0,person,0.314,287.7,114.8,29.3,35.3
30,1.2,person,0.731,661.0,271.0,24.0,48.1
30,1.2,person,0.661,771.3,257.4,18.1,52.2
30,1.2,person,0.612,158.0,231.0,18.5,39.0
30,1.2,person,0.595,727.3,136.3,25.4,30.4
30,1.2,person,0.587,631.2,268.8,20.7,47.7
30,1.2,person,0.562,469.1,342.9,43.9,47.9
30,1.2,person,0.552,420.2,291.6,23.7,50.0
30,1.2,person,0.551,683.8,241.8,17.8,44.6
30,1.2,person,0.541,710.4,65.3,17.1,28.9
30,1.2,person,0.502,301.7,119.9,15.7,33.9
30,1.2,person,0.429,453.8,170.4,17.9,37.3
30,1.2,person,0.422,444.8,378.2,40.0,51.4
30,1.2,person,0.412,466.0,430.2,22.1,66.4
30,1.2,person,0.409,456.6,171.5,27.5,41.5
30,1.2,person,0.399,628.1,268.6,15.9,48.9
30,1.2,person,0.389,514.3,181.0,16.2,29.8
30,1.2,person,0.352,451.0,409.0,53.6,111.0
30,1.2,person,0.351,630.8,263.1,18.6,35.9
30,1.2,person,0.339,464.9,342.4,22.0,44.4
30,1.2,person,0.334,462.8,342.5,31.7,46.4
30,1.2,person,0.331,516.8,183.1,16.2,32.6
30,1.2,person,0.329,453.1,166.7,15.2,30.7
